Periodo,Valores absolutos 
1993/01,10066201.07
1993/02,10092617.68
1993/03,10200860.19
1993/04,10329705.87
1994/01,10436932.78
1994/02,10655457.37
1994/03,10742213.52
1994/04,10861893.01
1995/01,10238183.78
1995/02,9736454.371
1995/03,9926140.467
1995/04,10110500.81
1996/01,10366135.04
1996/02,10518967.2
1996/03,10703587.23
1996/04,11018632.47
1997/01,11038181.66
1997/02,11293166.46
1997/03,11512952.87
1997/04,11790739.69
1998/01,11903625.69
1998/02,11990606.88
1998/03,12045279.8
1998/04,12063763.62
1999/01,12195718.35
1999/02,12265606.05
1999/03,12364986.45
1999/04,12492605.42
2000/01,12722096.89
2000/02,12927670.28
2000/03,13028601.79
2000/04,12941494.25
2001/01,12958607.31
2001/02,12879203.74
2001/03,12882640.06
2001/04,12821340.22
2002/01,12744193.86
2002/02,12852747.78
2002/03,12940558.09
2002/04,12980622.49
2003/01,13015946.79
2003/02,13041345.11
2003/03,13040124.54
2003/04,13176233.49
2004/01,13342873.68
2004/02,13570341.11
2004/03,13551666.52
2004/04,13718248.45
2005/01,13742295.04
2005/02,13782493.41
2005/03,13909078.96
2005/04,14129458.94
2006/01,14378492.86
2006/02,14520395.03
2006/03,14564912.62
2006/04,14596414.28
2007/01,14700255.89
2007/02,14812982.79
2007/03,14905521.28
2007/04,14965224.77
2008/01,14914961.2
2008/02,15048259.51
2008/03,15092676.63
2008/04,14852519.09
2009/01,14097174.78
2009/02,13881079.65
2009/03,14331755.81
2009/04,14580120.46
2010/01,14738682.2
2010/02,14890834.93
2010/03,15026320.78
2010/04,15151307.3
2011/01,15274729.71
2011/02,15342235.62
2011/03,15636948.06
2011/04,15748445.81
2012/01,15835488.41
2012/02,15978796.23
2012/03,16077987.67
2012/04,16213393.19
2013/01,16269784.64
2013/02,16158175.63
2013/03,16313698.28
2013/04,16402338.78
2014/01,16507650.97
2014/02,16719319.96
2014/03,16782248.13
2014/04,16965658.85
2015/01,17058087.87
2015/02,17237958.19
2015/03,17456462.87
2015/04,17438670.83
2016/01,17541311.41
2016/02,17623544.02
2016/03,17834759.05
2016/04,18010036.55
2017/01,18059589.49
2017/02,18157885.19
2017/03,18142104.19
2017/04,18291126.16
2018/01,18469974.61
2018/02,18441674.22
